Home Team,Away Team,Home Goals,Away Goals,Home Team Conference,Away Team Conference,Week,Division
Lehigh,Saint Joseph's,1,1,Patriot,A10,2,d1
Lindenwood,Chicago State,4,2,OVC,Indep.,2,d1
Longwood,Elon,0,0,Big South,CAA,2,d1
Louisiana Tech,Louisiana-Monroe,3,3,C-USA,Sun Belt,2,d1
Loyola (MD),Middle Tennessee,3,0,Patriot,C-USA,2,d1
Loyola Marymount,CSUN,1,0,WCC,Big West,2,d1
Maine,Holy Cross,1,1,Am East,Patriot,2,d1
Marquette,Denver,0,0,Big East,Summit,2,d1
Massachusetts-Lowell,Massachusetts,2,2,Am East,A10,2,d1
Miami (FL),Florida,0,0,ACC,SEC,2,d1
Mississippi State,Northwestern State,3,0,SEC,Southland,2,d1
Missouri,Omaha,2,2,SEC,Summit,2,d1
Montana,Montana State-Billings,4,0,Big Sky,Great Northwest,2,d1
Mount St. Mary's,Towson,0,3,MAAC,CAA,2,d1
Murray State,Kentucky,1,2,MVC,SEC,2,d1
NC State,Rutgers,1,1,ACC,Big Ten,2,d1
Navy,Maryland,3,3,Patriot,Big Ten,2,d1
New Hampshire,Manhattan,2,0,Am East,MAAC,2,d1
New Mexico,Cal State Fullerton,2,1,Mountain West,Big West,2,d1
New Mexico State,Arizona State,1,4,C-USA,Pac-12,2,d1
Niagara,St. Francis (Pa.),1,0,MAAC,Northeast,2,d1
North Alabama,UT Chattanooga,0,1,Atlantic Sun,Southern,2,d1
North Dakota,Minnesota State- Moorhead,2,0,Summit,Northern Sun,2,d1
Northeastern,San Jose State,0,1,CAA,Mountain West,2,d1
Northern Illinois,Eastern Illinois,3,0,MAC,OVC,2,d1
Northern Kentucky,Miami (OH),1,0,Horizon,MAC,2,d1
Ohio University,Cleveland State,1,0,MAC,Horizon,2,d1
Oklahoma,Arkansas Pine Bluff,8,1,Big 12,SWAC,2,d1
Oklahoma State,Florida Atlantic,3,0,Big 12,AAC,2,d1
Oral Roberts,Little Rock,1,1,Summit,OVC,2,d1
Oregon State,UC San Diego,2,0,Pac-12,Big West,2,d1
Portland,Washington State,0,1,WCC,Pac-12,2,d1
Purdue,Valparaiso,4,1,Big Ten,MVC,2,d1
Richmond,William & Mary,0,1,A10,CAA,2,d1
Sam Houston State,Lamar,0,1,C-USA,Southland,2,d1
Samford,Jacksonville State,6,0,Southern,C-USA,2,d1
San Diego State,Pepperdine,1,1,Mountain West,WCC,2,d1
Seattle,San Diego,0,1,WAC,WCC,2,d1
Seton Hall,Binghamton,3,0,Big East,Am East,2,d1
South Alabama,Queens (N.C.),3,0,Sun Belt,Atlantic Sun,2,d1
South Dakota,Wyoming,3,3,Summit,Mountain West,2,d1
South Florida,Alabama A&M,5,1,AAC,SWAC,2,d1
Southeast Missouri State,Evansville,0,0,OVC,MVC,2,d1
Southern Illinois,UMKC,1,1,MVC,Summit,2,d1
St. Bonaventure,Marist,0,0,A10,MAAC,2,d1
Stephen F. Austin,Houston,1,5,WAC,Big 12,2,d1
Stetson,Charleston Southern,1,5,Atlantic Sun,Big South,2,d1
Stony Brook,Lafayette,3,1,CAA,Patriot,2,d1
Syracuse,Auburn,1,2,ACC,SEC,2,d1
Temple,Rider,0,0,AAC,MAAC,2,d1
Tennessee,East Tennessee State,3,1,SEC,Southern,2,d1
Texas A&M-Commerce,Tulsa,2,0,Southland,AAC,2,d1
Texas State,North Texas,0,3,Sun Belt,AAC,2,d1
Texas Tech,Ball State,4,1,Big 12,MAC,2,d1
The Citadel,Francis Marion,5,0,Southern,Peach Belt,2,d1
UC Davis,St. Mary's (CA),0,1,Big West,WCC,2,d1
UC Irvine,Pacific,2,0,Big West,WCC,2,d1
UNLV,UC Riverside,3,0,Mountain West,Big West,2,d1
UT Martin,Appalachian State,0,2,OVC,Sun Belt,2,d1
UTEP,Abilene Christian,0,0,C-USA,WAC,2,d1
Utah State,Utah,0,1,Mountain West,Pac-12,2,d1
Utah Tech,Idaho,0,1,WAC,Big Sky,2,d1
Utah Valley,Clemson,0,2,WAC,ACC,2,d1
VCU,Old Dominion,0,2,A10,Sun Belt,2,d1
Virginia Tech,James Madison,3,0,ACC,Sun Belt,2,d1
Wagner,Army,1,0,Northeast,Patriot,2,d1
Wake Forest,Idaho State,3,0,ACC,Big Sky,2,d1
Western Illinois,Northern Iowa,0,0,OVC,MVC,2,d1
Western Kentucky,Siena College,2,2,C-USA,MAAC,2,d1
Wisconsin-Milwaukee,Minnesota,1,0,Horizon,Big Ten,2,d1
Wofford,USC Upstate,2,1,Southern,Big South,2,d1
Wright State,Southern Indiana,2,1,Horizon,OVC,2,d1
Xavier,Illinois,0,1,Big East,Big Ten,2,d1
Brown,Albany,6,0,Ivy,Am East,2,d1
Fairfield,Harvard,0,3,MAAC,Ivy,2,d1
Alcorn State,McNeese State,0,6,SWAC,Southland,2,d1
Columbia,Hofstra,3,0,Ivy,CAA,2,d1
Dartmouth,Eastern Michigan,2,2,Ivy,MAC,2,d1
DePaul,Wisconsin-Green Bay,1,1,Big East,Horizon,2,d1
Gardner-Webb,Allen University,8,0,Big South,Independent,2,d1
Liberty,Tennessee Tech,2,0,C-USA,OVC,2,d1
North Dakota State,Austin Peay,4,1,Summit,Atlantic Sun,2,d1
Northern Arizona,CSU Bakersfield,0,1,Big Sky,Big West,2,d1
Penn,American,1,0,Ivy,Patriot,2,d1
Portland State,St. Thomas (Minn.),0,4,Big Sky,Summit,2,d1
Presbyterian,Columbia International University,2,0,Big South,N/A,2,d1
Princeton,Monmouth,3,0,Ivy,CAA,2,d1
SIUE,Purdue Fort Wayne,2,1,OVC,Horizon,2,d1
Sacred Heart,Yale,2,2,Northeast,Ivy,2,d1
Southern Utah,Nevada,3,3,WAC,Mountain West,2,d1
Tarleton State,Nicholls,3,0,WAC,Southland,2,d1
Texas Southern,Rice,5,2,SWAC,AAC,2,d1
Toledo,Loyola-Chicago,1,2,MAC,A10,2,d1
Boise State,BYU,1,4,Mountain West,Big 12,2,d1
Hawaii Pacific,Sacramento State,0,1,Pacific West,Big Sky,2,d1
Mississippi,Southeastern Louisiana,3,1,SEC,Southland,2,d1
Saint Peter's,Hampton University,5,2,MAAC,CAA,2,d1
Southern Mississippi,Mississippi Valley,2,1,Sun Belt,SWAC,2,d1
Texas A&M,Baylor,1,1,SEC,Big 12,2,d1
VMI,Winthrop,1,2,Southern,Big South,2,d1
UC Irvine,UCLA,0,4,Big West,Pac-12,2,d1
North Carolina,USC,4,0,ACC,Pac-12,2,d1
Stanford,St. Mary's (CA),3,1,Pac-12,WCC,2,d1
Penn State,TCU,1,0,Big Ten,Big 12,2,d1
George Mason,Virginia,0,4,A10,ACC,2,d1
Duke,Wisconsin,2,1,ACC,Big Ten,2,d1
Alabama,Memphis,2,1,SEC,AAC,2,d1
Notre Dame,Arkansas,2,2,ACC,SEC,2,d1
Texas,Iona University,6,0,Big 12,MAAC,2,d1
Massachusetts-Lowell,South Carolina,0,2,Am East,SEC,2,d1
Pittsburgh,Bucknell,5,0,ACC,Patriot,2,d1
Colorado,Michigan State,2,0,Pac-12,Big Ten,2,d1
Saint Louis,UMKC,8,0,A10,Summit,2,d1
Central Connecticut,Brown,3,4,Northeast,Ivy,2,d1
Seattle,Santa Clara,0,2,WAC,WCC,2,d1
Georgetown,Virginia Tech,1,0,Big East,ACC,2,d1
Toledo,Northwestern,1,3,MAC,Big Ten,2,d1
Harvard,Connecticut,2,1,Ivy,Big East,2,d1
Abilene Christian,Nicholls,4,0,WAC,Southland,2,d1
Air Force,Northern Colorado,2,1,Mountain West,Big Sky,2,d1
Appalachian State,High Point,0,0,Sun Belt,Big South,2,d1
Arkansas Pine Bluff,North Alabama,0,2,SWAC,Atlantic Sun,2,d1
Army,Auburn,2,3,Patriot,SEC,2,d1
Boston College,San Jose State,2,0,ACC,Mountain West,2,d1
Boston University,Albany,3,2,Patriot,Am East,2,d1
Bowling Green,Loyola-Chicago,2,0,MAC,A10,2,d1
CSUN,Pepperdine,0,2,Big West,WCC,2,d1
California Baptist,Colorado State,0,1,WAC,Mountain West,2,d1
Campbell,East Carolina,0,1,CAA,AAC,2,d1
Central Arkansas,Arkansas State,2,2,Atlantic Sun,Sun Belt,2,d1
Central Michigan,Wright State,0,0,MAC,Horizon,2,d1
Cleveland State,Kent State,0,2,Horizon,MAC,2,d1
Coastal Carolina,College of Charleston,2,0,Sun Belt,CAA,2,d1
Colgate,St. John's,0,3,Patriot,Big East,2,d1
Columbia,Loyola (MD),3,0,Ivy,Patriot,2,d1
Cornell,Lehigh,2,2,Ivy,Patriot,2,d1
Dayton,Illinois,0,0,A10,Big Ten,2,d1
Drake,North Dakota State,2,0,MVC,Summit,2,d1
Drexel,Saint Joseph's,3,0,CAA,A10,2,d1
Eastern Illinois,Indiana State,1,1,OVC,MVC,2,d1
Evansville,Indiana,0,1,MVC,Big Ten,2,d1
FGCU,South Florida,2,0,Atlantic Sun,AAC,2,d1
Florida,Stetson,8,0,SEC,Atlantic Sun,2,d1
Florida Atlantic,Texas A&M-Corpus Christi,3,0,AAC,Southland,2,d1
Gardner-Webb,East Tennessee State,0,3,Big South,Southern,2,d1
Georgia State,Presbyterian,1,0,Sun Belt,Big South,2,d1
Gonzaga,Nebraska,1,3,WCC,Big Ten,2,d1
Grambling State,Lamar,0,0,SWAC,Southland,2,d1
Grand Canyon,CSU Bakersfield,5,0,WAC,Big West,2,d1
Holy Cross,Bryant,2,1,Patriot,Am East,2,d1
Houston,Tarleton State,4,1,Big 12,WAC,2,d1
Howard,Middle Tennessee,0,1,Northeast,C-USA,2,d1
IUPUI,SIUE,2,3,Horizon,OVC,2,d1
Idaho State,Utah Valley,0,6,Big Sky,WAC,2,d1
Jackson State,Murray State,0,2,SWAC,MVC,2,d1
James Madison,Maryland,2,2,Sun Belt,Big Ten,2,d1
Kansas,Colorado College,6,0,Big 12,Mountain West,2,d1
Kansas State,Creighton,0,0,Big 12,Big East,2,d1
Kentucky,Valparaiso,1,1,SEC,MVC,2,d1
LIU,UMBC,0,1,Northeast,Am East,2,d1
LSU,Southern University,5,0,SEC,SWAC,2,d1
Lipscomb,Siena College,3,2,Atlantic Sun,MAAC,2,d1
Louisiana Tech,McNeese State,1,0,C-USA,Southland,2,d1
Louisville,Northern Kentucky,0,0,ACC,Horizon,2,d1
Loyola Marymount,Cal Poly,0,2,WCC,Big West,2,d1
Marquette,Minnesota,0,2,Big East,Big Ten,2,d1
Mercer,Alabama State,9,0,Southern,SWAC,2,d1
Merrimack,Stony Brook,1,2,Northeast,CAA,2,d1
Miami (FL),Georgia Southern,1,2,ACC,Sun Belt,2,d1
Miami (OH),UIC,1,0,MAC,MVC,2,d1
Mississippi State,Florida International,2,0,SEC,C-USA,2,d1
Missouri State,Oregon,0,0,MVC,Pac-12,2,d1
Montana,Ohio State,2,2,Big Sky,Big Ten,2,d1
Navy,Ohio University,1,1,Patriot,MAC,2,d1
New Mexico State,Cal State Fullerton,1,0,C-USA,Big West,2,d1
Niagara,Le Moyne,2,3,MAAC,Northeast,2,d1
North Dakota,Austin Peay,1,1,Summit,Atlantic Sun,2,d1
North Texas,Texas A&M-Commerce,3,1,AAC,Southland,2,d1
Northeastern,Eastern Michigan,3,1,CAA,MAC,2,d1
Northern Arizona,Arizona,1,2,Big Sky,Pac-12,2,d1
Northern Illinois,Oakland,0,0,MAC,Horizon,2,d1
Northwestern State,Rice,1,2,Southland,AAC,2,d1
Oklahoma State,Little Rock,8,0,Big 12,OVC,2,d1
Old Dominion,Richmond,1,0,Sun Belt,A10,2,d1
Omaha,Wyoming,1,2,Summit,Mountain West,2,d1
Pacific,UC Santa Barbara,3,1,WCC,Big West,2,d1
Penn,Delaware,1,0,Ivy,CAA,2,d1
Portland State,Pacific University,1,3,Big Sky,Northwest,2,d1
Princeton,La Salle,5,0,Ivy,A10,2,d1
Purdue,Wake Forest,0,2,Big Ten,ACC,2,d1
Quinnipiac,Dartmouth,0,1,MAAC,Ivy,2,d1
Radford,Mount St. Mary's,2,0,Big South,MAAC,2,d1
Rhode Island,Providence,0,1,A10,Big East,2,d1
SMU,Tennessee,2,1,AAC,SEC,2,d1
Samford,Oklahoma,4,0,Southern,Big 12,2,d1
San Diego State,Long Beach State,0,3,Mountain West,Big West,2,d1
San Francisco,UC Davis,1,3,WCC,Big West,2,d1
Seton Hall,Rider,1,0,Big East,MAAC,2,d1
South Alabama,Kennesaw State,3,1,Sun Belt,Atlantic Sun,2,d1
South Dakota State,Iowa State,2,1,Summit,Big 12,2,d1
Southern Illinois,Southeast Missouri State,0,2,MVC,OVC,2,d1
Southern Indiana,Purdue Fort Wayne,0,1,OVC,Horizon,2,d1
St. Bonaventure,Detroit Mercy,1,1,A10,Horizon,2,d1
St. Francis (Pa.),Robert Morris,1,4,Northeast,Horizon,2,d1
Stephen F. Austin,Louisiana,0,1,WAC,Sun Belt,2,d1
Stonehill,Maine,1,5,Northeast,Am East,2,d1
Syracuse,Binghamton,2,1,ACC,Am East,2,d1
Temple,Villanova,0,3,AAC,Big East,2,d1
Texas Southern,St. Mary's Texas,2,3,SWAC,Heartland,2,d1
Texas Tech,Utah State,3,0,Big 12,Mountain West,2,d1
The Citadel,Charlotte,0,1,Southern,AAC,2,d1
Troy,Queens (N.C.),1,0,Sun Belt,Atlantic Sun,2,d1
Tulsa,Oral Roberts,1,2,AAC,Summit,2,d1
UAB,Jacksonville State,3,0,AAC,C-USA,2,d1
UC Riverside,NJIT,0,0,Big West,Am East,2,d1
UCF,North Florida,2,1,Big 12,Atlantic Sun,2,d1
UNC Greensboro,George Washington,1,2,Southern,A10,2,d1
UNC Wilmington,Liberty,0,3,CAA,C-USA,2,d1
UNLV,Idaho,0,1,Mountain West,Big Sky,2,d1
USC Upstate,Furman,1,1,Big South,Southern,2,d1
UT Martin,Western Carolina,2,1,OVC,Southern,2,d1
UTEP,Arizona State,0,2,C-USA,Pac-12,2,d1
UTSA,Texas State,1,0,AAC,Sun Belt,2,d1
Utah,Clemson,0,1,Pac-12,ACC,2,d1
Utah Tech,Nevada,2,1,WAC,Mountain West,2,d1
Vanderbilt,Belmont,2,0,SEC,MVC,2,d1
Wagner,Manhattan,1,2,Northeast,MAAC,2,d1
Washington,San Diego,5,0,Pac-12,WCC,2,d1
Washington State,Weber State,3,1,Pac-12,Big Sky,2,d1
West Virginia,Duquesne,1,0,Big 12,A10,2,d1
Western Kentucky,Xavier,1,5,C-USA,Big East,2,d1
Western Michigan,Butler,1,0,MAC,Big East,2,d1
Western Oregon,St. Thomas (Minn.),0,0,Great Northwest,Summit,2,d1
William & Mary,VCU,1,1,CAA,A10,2,d1
Wisconsin-Milwaukee,Denver,3,3,Horizon,Summit,2,d1
Wofford,Davidson,0,2,Southern,A10,2,d1
Yale,Massachusetts,1,2,Ivy,A10,2,d1
Youngstown State,Canisius,0,1,Horizon,MAAC,2,d1
